Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock,mid_level_category
temperaments,temperaments,0.02,Noun,12,11,3,temperament,,,10.89,1.0,,,,,unknown_noun
temperatures,temperatures,1.96,Noun,12,9,3,temperature,,,6.17,1.0,7.31,,,,unknown_noun
tempered,tempered,0.65,Verb,8,6,2,temper,,,6.22,1.0,,6.71,,7.19,change
tempering,tempering,0.04,Verb,9,7,3,temper,,,6.22,1.0,,6.71,,7.19,change
tempers,tempers,0.73,Noun,7,6,2,temper,,,6.22,1.0,,6.71,,7.19,unknown_noun
tempests,tempests,0.1,Noun,8,8,2,tempest,,,12.53,0.94,,,,12.32,unknown_noun
temping,temping,0.27,Verb,7,6,2,temp,,,11.06,1.0,,,,,verb_other
templates,templates,0.29,Noun,9,8,2,template,,,11.44,1.0,,,,,unknown_noun
temples,temples,1.57,Noun,7,7,2,temple,,,8.79,1.0,,,,8.7,unknown_noun
temporaries,temporaries,0.16,Noun,11,9,4,temporary,,,8.84,1.0,,,,,unknown_noun
tempos,tempos,0.04,Noun,6,6,2,tempo,,,9.67,1.0,,,,10.32,unknown_noun
temps,temps,0.37,Noun,5,5,1,temp,,,11.06,1.0,,,,,unknown_noun
temptations,temptations,0.75,Noun,11,9,3,temptation,,,8.35,1.0,,9.0,,,unknown_noun
tempted,tempted,3.98,Verb,7,7,2,tempt,,,8.6,1.0,,,9.09,,communication
tempts,tempts,0.14,Verb,6,6,1,tempt,,,8.6,1.0,,,9.09,,communication
tenants,tenants,2.57,Noun,7,7,2,tenant,,,10.33,1.0,9.56,,,11.39,unknown_noun
tended,tended,1.0,Verb,6,6,2,tend,,,9.79,0.95,9.36,,8.22,,stative
tendencies,tendencies,1.57,Noun,10,9,3,tendency,,,12.57,1.0,,10.34,,,unknown_noun
tendered,tendered,0.24,Verb,8,6,2,tender,,,7.11,1.0,,,,8.53,possession
tenderfeet,tenderfeet,0.02,Noun,10,8,3,tenderfoot,,,10.88,0.89,,,,,unknown_noun
tendering,tendering,0.14,Verb,9,7,3,tender,,,7.11,1.0,,,,8.53,possession
