Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
marshmallow,marshmallow,1.51,Noun,11,8,3,marshmallow,3.80,1.00,3.80,1.00,,,,
pink,pink,28.47,Adjective,4,4,1,pink,3.80,1.00,3.80,1.00,5.19,,3.75,
music,music,151.65,Noun,5,6,2,music,3.81,1.00,3.81,1.00,,5.56,,4.14
he,he,7637.20,Pronoun,2,2,1,he,3.81,1.00,3.81,1.00,3.94,,3.12,
myself,myself,342.55,Pronoun,6,6,2,myself,3.81,1.00,3.81,1.00,4.71,,,4.86
who,who,2222.94,Pronoun,3,2,1,who,3.81,1.00,3.81,1.00,4.77,,4.34,
dirt,dirt,25.69,Noun,4,3,1,dirt,3.83,1.00,3.83,1.00,,4.58,3.91,
eyeball,eyeball,1.84,Noun,7,4,2,eyeball,3.83,1.00,3.83,1.00,,5.35,,
yell,yell,18.41,Verb,4,3,1,yell,3.83,1.00,3.83,1.00,,,4.34,
off,off,1179.51,Adverb,3,2,1,off,3.83,1.00,3.83,1.00,4.34,,3.88,
baby,baby,509.37,Noun,4,4,2,baby,3.84,1.00,3.84,1.00,3.54,,,3.87
bathing,bathing,7.43,Adjective,7,5,2,bathing,3.84,1.00,3.84,1.00,,,,
boat,boat,95.78,Noun,4,3,1,boat,3.84,1.00,3.84,1.00,8.17,,3.98,
pig,pig,39.14,Noun,3,3,1,pig,3.84,1.00,3.84,1.00,,4.82,3.82,
plate,plate,25.65,Noun,5,4,1,plate,3.84,1.00,3.84,1.00,,4.71,4.53,
spill,spill,8.47,Verb,5,4,1,spill,3.84,1.00,3.84,1.00,4.77,,4.45,
stair,stair,1.35,Noun,5,4,1,stair,3.84,1.00,3.84,1.00,4.71,,5.33,
bus,bus,74.18,Noun,3,3,1,bus,3.85,1.00,3.85,1.00,,,4.38,
farm,farm,30.04,Noun,4,4,1,farm,3.85,1.00,3.85,1.00,4.87,,5.13,
what,what,9842.45,Determiner,4,3,1,what,3.86,1.00,3.86,1.00,4.87,,3.43,
ice,ice,79.55,Noun,3,2,1,ice,3.86,1.00,3.86,1.00,4.83,5.35,3.85,
spanking,spanking,1.82,Noun,8,7,2,spanking,3.86,1.00,3.86,1.00,,,,
kids,kids,301.10,Noun,4,4,1,kids,3.86,1.00,3.86,1.00,,,,
